model,method,dataset,task,augmentation_rate,eval_score
anthropic,cut,oldleetcode.json,Q00003,0.0,1
anthropic,cut,oldleetcode.json,Q00003,0.1,1
anthropic,cut,oldleetcode.json,Q00003,0.2,1
anthropic,cut,oldleetcode.json,Q00003,0.3,1
anthropic,cut,oldleetcode.json,Q00003,0.4,1
anthropic,cut,oldleetcode.json,Q00003,0.5,1
anthropic,cut,oldleetcode.json,Q00003,0.6,1
anthropic,cut,oldleetcode.json,Q00003,0.7,1
anthropic,cut,oldleetcode.json,Q00003,0.8,1
anthropic,cut,oldleetcode.json,Q00003,0.9,0
anthropic,cut,oldleetcode.json,Q00003,1.0,0
