model,method,dataset,task,augmentation_rate,eval_score
anthropic,random,newleetcode.json,Q00014,0.0,1
anthropic,random,newleetcode.json,Q00014,0.1,1
anthropic,random,newleetcode.json,Q00014,0.2,1
anthropic,random,newleetcode.json,Q00014,0.3,1
anthropic,random,newleetcode.json,Q00014,0.4,1
anthropic,random,newleetcode.json,Q00014,0.5,0
anthropic,random,newleetcode.json,Q00014,0.6,1
anthropic,random,newleetcode.json,Q00014,0.7,0
anthropic,random,newleetcode.json,Q00014,0.8,0
anthropic,random,newleetcode.json,Q00014,0.9,0
anthropic,random,newleetcode.json,Q00014,1.0,0
