model,method,dataset,task,augmentation_rate,eval_score
anthropic,synonym,newleetcode.json,Q00017,0.0,0
anthropic,synonym,newleetcode.json,Q00017,0.1,1
anthropic,synonym,newleetcode.json,Q00017,0.2,1
anthropic,synonym,newleetcode.json,Q00017,0.3,1
anthropic,synonym,newleetcode.json,Q00017,0.4,1
anthropic,synonym,newleetcode.json,Q00017,0.5,0
anthropic,synonym,newleetcode.json,Q00017,0.6,0
anthropic,synonym,newleetcode.json,Q00017,0.7,0
anthropic,synonym,newleetcode.json,Q00017,0.8,0
anthropic,synonym,newleetcode.json,Q00017,0.9,0
anthropic,synonym,newleetcode.json,Q00017,1.0,1
