model,method,dataset,task,augmentation_rate,eval_score
anthropic,synonym,oldleetcode.json,Q00004,0.0,1
anthropic,synonym,oldleetcode.json,Q00004,0.1,0
anthropic,synonym,oldleetcode.json,Q00004,0.2,1
anthropic,synonym,oldleetcode.json,Q00004,0.3,1
anthropic,synonym,oldleetcode.json,Q00004,0.4,1
anthropic,synonym,oldleetcode.json,Q00004,0.5,1
anthropic,synonym,oldleetcode.json,Q00004,0.6,1
anthropic,synonym,oldleetcode.json,Q00004,0.7,1
anthropic,synonym,oldleetcode.json,Q00004,0.8,1
anthropic,synonym,oldleetcode.json,Q00004,0.9,1
anthropic,synonym,oldleetcode.json,Q00004,1.0,1
