model,method,dataset,task,augmentation_rate,eval_score
deepseek,cut,oldleetcode.json,Q00012,0.0,1
deepseek,cut,oldleetcode.json,Q00012,0.1,1
deepseek,cut,oldleetcode.json,Q00012,0.2,1
deepseek,cut,oldleetcode.json,Q00012,0.3,1
deepseek,cut,oldleetcode.json,Q00012,0.4,1
deepseek,cut,oldleetcode.json,Q00012,0.5,1
deepseek,cut,oldleetcode.json,Q00012,0.6,0
deepseek,cut,oldleetcode.json,Q00012,0.7,1
deepseek,cut,oldleetcode.json,Q00012,0.8,1
deepseek,cut,oldleetcode.json,Q00012,0.9,1
deepseek,cut,oldleetcode.json,Q00012,1.0,0
