model,method,dataset,task,augmentation_rate,eval_score
deepseek,keyboard,newleetcode.json,Q00000,0.0,0
deepseek,keyboard,newleetcode.json,Q00000,0.1,0
deepseek,keyboard,newleetcode.json,Q00000,0.2,0
deepseek,keyboard,newleetcode.json,Q00000,0.3,0
deepseek,keyboard,newleetcode.json,Q00000,0.4,0
deepseek,keyboard,newleetcode.json,Q00000,0.5,0
deepseek,keyboard,newleetcode.json,Q00000,0.6,0
deepseek,keyboard,newleetcode.json,Q00000,0.7,
deepseek,keyboard,newleetcode.json,Q00000,0.8,
deepseek,keyboard,newleetcode.json,Q00000,0.9,
deepseek,keyboard,newleetcode.json,Q00000,1.0,
