model,method,dataset,task,augmentation_rate,eval_score
deepseek,random,newleetcode.json,Q00011,0.0,0
deepseek,random,newleetcode.json,Q00011,0.1,
deepseek,random,newleetcode.json,Q00011,0.2,0
deepseek,random,newleetcode.json,Q00011,0.3,
deepseek,random,newleetcode.json,Q00011,0.4,0
deepseek,random,newleetcode.json,Q00011,0.5,
deepseek,random,newleetcode.json,Q00011,0.6,
deepseek,random,newleetcode.json,Q00011,0.7,0
deepseek,random,newleetcode.json,Q00011,0.8,
deepseek,random,newleetcode.json,Q00011,0.9,0
deepseek,random,newleetcode.json,Q00011,1.0,0
