model,method,dataset,task,augmentation_rate,eval_score
deepseek,random,oldleetcode.json,Q00008,0.0,0
deepseek,random,oldleetcode.json,Q00008,0.1,1
deepseek,random,oldleetcode.json,Q00008,0.2,1
deepseek,random,oldleetcode.json,Q00008,0.3,1
deepseek,random,oldleetcode.json,Q00008,0.4,0
deepseek,random,oldleetcode.json,Q00008,0.5,1
deepseek,random,oldleetcode.json,Q00008,0.6,0
deepseek,random,oldleetcode.json,Q00008,0.7,0
deepseek,random,oldleetcode.json,Q00008,0.8,0
deepseek,random,oldleetcode.json,Q00008,0.9,0
deepseek,random,oldleetcode.json,Q00008,1.0,0
