model,method,dataset,task,augmentation_rate,eval_score
deepseek,synonym,newleetcode.json,Q00005,0.0,1
deepseek,synonym,newleetcode.json,Q00005,0.1,1
deepseek,synonym,newleetcode.json,Q00005,0.2,1
deepseek,synonym,newleetcode.json,Q00005,0.3,
deepseek,synonym,newleetcode.json,Q00005,0.4,1
deepseek,synonym,newleetcode.json,Q00005,0.5,1
deepseek,synonym,newleetcode.json,Q00005,0.6,1
deepseek,synonym,newleetcode.json,Q00005,0.7,
deepseek,synonym,newleetcode.json,Q00005,0.8,1
deepseek,synonym,newleetcode.json,Q00005,0.9,1
deepseek,synonym,newleetcode.json,Q00005,1.0,1
