model,method,dataset,task,augmentation_rate,eval_score
google,cut,oldleetcode.json,Q00002,0.0,1
google,cut,oldleetcode.json,Q00002,0.1,1
google,cut,oldleetcode.json,Q00002,0.2,1
google,cut,oldleetcode.json,Q00002,0.3,1
google,cut,oldleetcode.json,Q00002,0.4,1
google,cut,oldleetcode.json,Q00002,0.5,1
google,cut,oldleetcode.json,Q00002,0.6,1
google,cut,oldleetcode.json,Q00002,0.7,0
google,cut,oldleetcode.json,Q00002,0.8,0
google,cut,oldleetcode.json,Q00002,0.9,0
google,cut,oldleetcode.json,Q00002,1.0,0
