model,method,dataset,task,augmentation_rate,eval_score
google,keyboard,oldleetcode.json,Q00009,0.0,1
google,keyboard,oldleetcode.json,Q00009,0.1,1
google,keyboard,oldleetcode.json,Q00009,0.2,1
google,keyboard,oldleetcode.json,Q00009,0.3,1
google,keyboard,oldleetcode.json,Q00009,0.4,1
google,keyboard,oldleetcode.json,Q00009,0.5,0
google,keyboard,oldleetcode.json,Q00009,0.6,0
google,keyboard,oldleetcode.json,Q00009,0.7,0
google,keyboard,oldleetcode.json,Q00009,0.8,0
google,keyboard,oldleetcode.json,Q00009,0.9,0
google,keyboard,oldleetcode.json,Q00009,1.0,0
