model,method,dataset,task,augmentation_rate,eval_score
google,random,newleetcode.json,Q00003,0.0,1
google,random,newleetcode.json,Q00003,0.1,0
google,random,newleetcode.json,Q00003,0.2,0
google,random,newleetcode.json,Q00003,0.3,0
google,random,newleetcode.json,Q00003,0.4,0
google,random,newleetcode.json,Q00003,0.5,0
google,random,newleetcode.json,Q00003,0.6,0
google,random,newleetcode.json,Q00003,0.7,0
google,random,newleetcode.json,Q00003,0.8,0
google,random,newleetcode.json,Q00003,0.9,0
google,random,newleetcode.json,Q00003,1.0,0
