model,method,dataset,task,augmentation_rate,eval_score
google,random,oldleetcode.json,Q00006,0.0,1
google,random,oldleetcode.json,Q00006,0.1,1
google,random,oldleetcode.json,Q00006,0.2,1
google,random,oldleetcode.json,Q00006,0.3,0
google,random,oldleetcode.json,Q00006,0.4,1
google,random,oldleetcode.json,Q00006,0.5,1
google,random,oldleetcode.json,Q00006,0.6,0
google,random,oldleetcode.json,Q00006,0.7,1
google,random,oldleetcode.json,Q00006,0.8,0
google,random,oldleetcode.json,Q00006,0.9,0
google,random,oldleetcode.json,Q00006,1.0,0
