model,method,dataset,task,augmentation_rate,eval_score
meta,synonym,oldleetcode.json,Q00009,0.0,0
meta,synonym,oldleetcode.json,Q00009,0.1,1
meta,synonym,oldleetcode.json,Q00009,0.2,0
meta,synonym,oldleetcode.json,Q00009,0.3,0
meta,synonym,oldleetcode.json,Q00009,0.4,1
meta,synonym,oldleetcode.json,Q00009,0.5,0
meta,synonym,oldleetcode.json,Q00009,0.6,1
meta,synonym,oldleetcode.json,Q00009,0.7,1
meta,synonym,oldleetcode.json,Q00009,0.8,0
meta,synonym,oldleetcode.json,Q00009,0.9,0.0
meta,synonym,oldleetcode.json,Q00009,1.0,1
