model,method,dataset,task,augmentation_rate,eval_score
openai,cut,newleetcode.json,Q00012,0.0,0
openai,cut,newleetcode.json,Q00012,0.1,0
openai,cut,newleetcode.json,Q00012,0.2,0
openai,cut,newleetcode.json,Q00012,0.3,0
openai,cut,newleetcode.json,Q00012,0.4,0
openai,cut,newleetcode.json,Q00012,0.5,0
openai,cut,newleetcode.json,Q00012,0.6,0
openai,cut,newleetcode.json,Q00012,0.7,0
openai,cut,newleetcode.json,Q00012,0.8,0
openai,cut,newleetcode.json,Q00012,0.9,0
openai,cut,newleetcode.json,Q00012,1.0,0
