model,method,dataset,task,augmentation_rate,eval_score
openai,cut,oldleetcode.json,Q00003,0.0,1
openai,cut,oldleetcode.json,Q00003,0.1,1
openai,cut,oldleetcode.json,Q00003,0.2,1
openai,cut,oldleetcode.json,Q00003,0.3,1
openai,cut,oldleetcode.json,Q00003,0.4,1
openai,cut,oldleetcode.json,Q00003,0.5,1
openai,cut,oldleetcode.json,Q00003,0.6,0
openai,cut,oldleetcode.json,Q00003,0.7,0
openai,cut,oldleetcode.json,Q00003,0.8,0
openai,cut,oldleetcode.json,Q00003,0.9,0
openai,cut,oldleetcode.json,Q00003,1.0,0
