model,method,dataset,task,augmentation_rate,eval_score
openai,keyboard,newleetcode.json,Q00013,0.0,0
openai,keyboard,newleetcode.json,Q00013,0.1,0
openai,keyboard,newleetcode.json,Q00013,0.2,0
openai,keyboard,newleetcode.json,Q00013,0.3,0
openai,keyboard,newleetcode.json,Q00013,0.4,0
openai,keyboard,newleetcode.json,Q00013,0.5,0
openai,keyboard,newleetcode.json,Q00013,0.6,0
openai,keyboard,newleetcode.json,Q00013,0.7,0
openai,keyboard,newleetcode.json,Q00013,0.8,0
openai,keyboard,newleetcode.json,Q00013,0.9,0
openai,keyboard,newleetcode.json,Q00013,1.0,0
