model,method,dataset,task,augmentation_rate,eval_score
openai,random,newleetcode.json,Q00014,0.0,1
openai,random,newleetcode.json,Q00014,0.1,1
openai,random,newleetcode.json,Q00014,0.2,1
openai,random,newleetcode.json,Q00014,0.3,1
openai,random,newleetcode.json,Q00014,0.4,0
openai,random,newleetcode.json,Q00014,0.5,0
openai,random,newleetcode.json,Q00014,0.6,1
openai,random,newleetcode.json,Q00014,0.7,0
openai,random,newleetcode.json,Q00014,0.8,0
openai,random,newleetcode.json,Q00014,0.9,0
openai,random,newleetcode.json,Q00014,1.0,0
