model,method,dataset,task,augmentation_rate,eval_score
openai,synonym,newleetcode.json,Q00010,0.0,1
openai,synonym,newleetcode.json,Q00010,0.1,0
openai,synonym,newleetcode.json,Q00010,0.2,1
openai,synonym,newleetcode.json,Q00010,0.3,0
openai,synonym,newleetcode.json,Q00010,0.4,1
openai,synonym,newleetcode.json,Q00010,0.5,0
openai,synonym,newleetcode.json,Q00010,0.6,1
openai,synonym,newleetcode.json,Q00010,0.7,0
openai,synonym,newleetcode.json,Q00010,0.8,0
openai,synonym,newleetcode.json,Q00010,0.9,0
openai,synonym,newleetcode.json,Q00010,1.0,0
