model,method,dataset,task,augmentation_rate,eval_score
anthropic,keyboard,math.json,Q00005,0.0,1.0
anthropic,keyboard,math.json,Q00005,0.1,0.0
anthropic,keyboard,math.json,Q00005,0.2,0.0
anthropic,keyboard,math.json,Q00005,0.3,0.0
anthropic,keyboard,math.json,Q00005,0.4,0.0
anthropic,keyboard,math.json,Q00005,0.5,0.0
anthropic,keyboard,math.json,Q00005,0.6,0.0
anthropic,keyboard,math.json,Q00005,0.7,
anthropic,keyboard,math.json,Q00005,0.8,
anthropic,keyboard,math.json,Q00005,0.9,
anthropic,keyboard,math.json,Q00005,1.0,
