model,method,dataset,task,augmentation_rate,eval_score
deepseek,keyboard,math.json,Q00014,0.0,1.0
deepseek,keyboard,math.json,Q00014,0.1,1.0
deepseek,keyboard,math.json,Q00014,0.2,1.0
deepseek,keyboard,math.json,Q00014,0.3,
deepseek,keyboard,math.json,Q00014,0.4,1.0
deepseek,keyboard,math.json,Q00014,0.5,1.0
deepseek,keyboard,math.json,Q00014,0.6,1.0
deepseek,keyboard,math.json,Q00014,0.7,1.0
deepseek,keyboard,math.json,Q00014,0.8,
deepseek,keyboard,math.json,Q00014,0.9,1.0
deepseek,keyboard,math.json,Q00014,1.0,1.0
