model,method,dataset,task,augmentation_rate,eval_score
google,keyboard,math.json,Q00016,0.0,1.0
google,keyboard,math.json,Q00016,0.1,0.0
google,keyboard,math.json,Q00016,0.2,1.0
google,keyboard,math.json,Q00016,0.3,0.0
google,keyboard,math.json,Q00016,0.4,1.0
google,keyboard,math.json,Q00016,0.5,0.0
google,keyboard,math.json,Q00016,0.6,0.0
google,keyboard,math.json,Q00016,0.7,1.0
google,keyboard,math.json,Q00016,0.8,0.0
google,keyboard,math.json,Q00016,0.9,0.0
google,keyboard,math.json,Q00016,1.0,0.0
