model,method,dataset,task,augmentation_rate,eval_score
openai,keyboard,math.json,Q00008,0.0,1.0
openai,keyboard,math.json,Q00008,0.1,1.0
openai,keyboard,math.json,Q00008,0.2,1.0
openai,keyboard,math.json,Q00008,0.3,0.0
openai,keyboard,math.json,Q00008,0.4,0.0
openai,keyboard,math.json,Q00008,0.5,0.0
openai,keyboard,math.json,Q00008,0.6,1.0
openai,keyboard,math.json,Q00008,0.7,0.0
openai,keyboard,math.json,Q00008,0.8,1.0
openai,keyboard,math.json,Q00008,0.9,0.0
openai,keyboard,math.json,Q00008,1.0,0.0
